MonitoringStation,Group,MonitoringLocation,Parameter,Unit,UnitId,Date,Value,SourceColumn,DatasetName,DatasetID,Sheet,SensorID,SoilMoisture_pct,Evelation,latitude,Location,longitude,PlotType,Precision_m,descrip,plot,_generic_id,Coords,Description
38,South Africa,Irrigation scheme - Herefored,Soil moisture,%,26,2025-11-29,16.08430878929589,SoilMoisture_pct,Soil moisture,5fa7b6aa-d339-44e7-b0e3-5eedcc2eea47,Plot 15 sensors,_8121,16.08430878929589,924.4,-25.1682283,Sensor 12_8121,29.4179883,Butternut_plot15,3.9,Sensor 12 butternut field ,,38,"{""type"":""Point"",""coordinates"":[29.4179883,-25.1682283]}",
39,South Africa,Irrigation scheme - Herefored,Soil moisture,%,26,2025-10-27,17.25524953518001,SoilMoisture_pct,Soil moisture,5fa7b6aa-d339-44e7-b0e3-5eedcc2eea47,Plot 15 sensors,_8121,17.25524953518001,924.4,-25.1682283,Sensor 12_8121,29.4179883,Butternut_plot15,3.9,Sensor 12 butternut field ,,39,"{""type"":""Point"",""coordinates"":[29.4179883,-25.1682283]}",
40,South Africa,Irrigation scheme - Herefored,Soil moisture,%,26,2025-10-24,19.55470500076627,SoilMoisture_pct,Soil moisture,5fa7b6aa-d339-44e7-b0e3-5eedcc2eea47,Plot 15 sensors,_8121,19.55470500076627,924.4,-25.1682283,Sensor 12_8121,29.4179883,Butternut_plot15,3.9,Sensor 12 butternut field ,,40,"{""type"":""Point"",""coordinates"":[29.4179883,-25.1682283]}",
41,South Africa,Irrigation scheme - Herefored,Soil moisture,%,26,2025-10-22,34.47143466415181,SoilMoisture_pct,Soil moisture,5fa7b6aa-d339-44e7-b0e3-5eedcc2eea47,Plot 15 sensors,_8121,34.47143466415181,924.4,-25.1682283,Sensor 12_8121,29.4179883,Butternut_plot15,3.9,Sensor 12 butternut field ,,41,"{""type"":""Point"",""coordinates"":[29.4179883,-25.1682283]}",
42,South Africa,Irrigation scheme - Herefored,Soil moisture,%,26,2025-10-21,33.68090812995035,SoilMoisture_pct,Soil moisture,5fa7b6aa-d339-44e7-b0e3-5eedcc2eea47,Plot 15 sensors,_8121,33.68090812995035,924.4,-25.1682283,Sensor 12_8121,29.4179883,Butternut_plot15,3.9,Sensor 12 butternut field ,,42,"{""type"":""Point"",""coordinates"":[29.4179883,-25.1682283]}",
43,South Africa,Irrigation scheme - Herefored,Soil moisture,%,26,2025-10-18,18.06260244976801,SoilMoisture_pct,Soil moisture,5fa7b6aa-d339-44e7-b0e3-5eedcc2eea47,Plot 15 sensors,_8121,18.06260244976801,924.4,-25.1682283,Sensor 12_8121,29.4179883,Butternut_plot15,3.9,Sensor 12 butternut field ,,43,"{""type"":""Point"",""coordinates"":[29.4179883,-25.1682283]}",
44,South Africa,Irrigation scheme - Herefored,Soil moisture,%,26,2025-10-17,14.96883540481513,SoilMoisture_pct,Soil moisture,5fa7b6aa-d339-44e7-b0e3-5eedcc2eea47,Plot 15 sensors,_8121,14.96883540481513,924.4,-25.1682283,Sensor 12_8121,29.4179883,Butternut_plot15,3.9,Sensor 12 butternut field ,,44,"{""type"":""Point"",""coordinates"":[29.4179883,-25.1682283]}",
45,South Africa,Irrigation scheme - Herefored,Soil moisture,%,26,2025-12-02,14.24893424940776,SoilMoisture_pct,Soil moisture,5fa7b6aa-d339-44e7-b0e3-5eedcc2eea47,Plot 15 sensors,_2C27,14.24893424940776,920.8000000000001,-25.1684023,Sensor 15_2c27,29.4180538,Butternut_plot15,4.133,Sensor 15,,45,"{""type"":""Point"",""coordinates"":[29.4180538,-25.1684023]}",
46,South Africa,Irrigation scheme - Herefored,Soil moisture,%,26,2025-10-27,15.40883984052931,SoilMoisture_pct,Soil moisture,5fa7b6aa-d339-44e7-b0e3-5eedcc2eea47,Plot 15 sensors,_2C27,15.40883984052931,920.8000000000001,-25.1684023,Sensor 15_2c27,29.4180538,Butternut_plot15,4.133,Sensor 15,,46,"{""type"":""Point"",""coordinates"":[29.4180538,-25.1684023]}",
47,South Africa,Irrigation scheme - Herefored,Soil moisture,%,26,2025-10-24,19.79923824378315,SoilMoisture_pct,Soil moisture,5fa7b6aa-d339-44e7-b0e3-5eedcc2eea47,Plot 15 sensors,_2C27,19.79923824378315,920.8000000000001,-25.1684023,Sensor 15_2c27,29.4180538,Butternut_plot15,4.133,Sensor 15,,47,"{""type"":""Point"",""coordinates"":[29.4180538,-25.1684023]}",
