Sheet,SensorID,Date,SoilMoisture_pct,Evelation,latitude,Location,longitude,PlotType,Precision_m,descrip,plot,_generic_id,geometry,WKT
Plot 15 sensors,_229E,25-10-24,31.09354846560045,920.5,-25.1682811,Sensor 14_229e,29.4180382,Butternut_plot15,4.825,Sensor 14 butternut field ,,73,POINT (29.4180382 -25.1682811),POINT (29.418038 -25.168281)
Plot 15 sensors,_229E,25-10-22,33.10085067978878,920.5,-25.1682811,Sensor 14_229e,29.4180382,Butternut_plot15,4.825,Sensor 14 butternut field ,,74,POINT (29.4180382 -25.1682811),POINT (29.418038 -25.168281)
Plot 15 sensors,_229E,25-10-21,31.98095446596793,920.5,-25.1682811,Sensor 14_229e,29.4180382,Butternut_plot15,4.825,Sensor 14 butternut field ,,75,POINT (29.4180382 -25.1682811),POINT (29.418038 -25.168281)
Plot 15 sensors,_229E,25-10-17,9.330427248295708,920.5,-25.1682811,Sensor 14_229e,29.4180382,Butternut_plot15,4.825,Sensor 14 butternut field ,,76,POINT (29.4180382 -25.1682811),POINT (29.418038 -25.168281)
Plot 15 sensors,_4784,25-10-24,24.71781699703686,929.0,-25.1683645,Sensor 5_ 4784,29.4175123,Butternut_plot15,3.4,Sensor 5 butternut field ,,77,POINT (29.4175123 -25.1683645),POINT (29.417512 -25.168364)
Plot 15 sensors,_4784,25-10-22,25.1846378715724,929.0,-25.1683645,Sensor 5_ 4784,29.4175123,Butternut_plot15,3.4,Sensor 5 butternut field ,,78,POINT (29.4175123 -25.1683645),POINT (29.417512 -25.168364)
Plot 15 sensors,_4784,25-10-21,24.27494699514434,929.0,-25.1683645,Sensor 5_ 4784,29.4175123,Butternut_plot15,3.4,Sensor 5 butternut field ,,79,POINT (29.4175123 -25.1683645),POINT (29.417512 -25.168364)
Plot 15 sensors,_4784,25-10-17,18.67967681350702,929.0,-25.1683645,Sensor 5_ 4784,29.4175123,Butternut_plot15,3.4,Sensor 5 butternut field ,,80,POINT (29.4175123 -25.1683645),POINT (29.417512 -25.168364)
Plot 15 sensors,_26AE,25-12-02,15.43376195459963,914.5,-25.1682304,Sensor 8_26ae,29.4178351,Butternut_plot15,3.65,Sensor 8 butternut field ,,81,POINT (29.4178351 -25.1682304),POINT (29.417835 -25.16823)
Plot 15 sensors,_26AE,25-11-29,15.23954671708076,914.5,-25.1682304,Sensor 8_26ae,29.4178351,Butternut_plot15,3.65,Sensor 8 butternut field ,,82,POINT (29.4178351 -25.1682304),POINT (29.417835 -25.16823)
Plot 15 sensors,_26AE,25-10-27,17.32952334667128,914.5,-25.1682304,Sensor 8_26ae,29.4178351,Butternut_plot15,3.65,Sensor 8 butternut field ,,83,POINT (29.4178351 -25.1682304),POINT (29.417835 -25.16823)
Plot 15 sensors,_26AE,25-10-24,12.62379853711892,914.5,-25.1682304,Sensor 8_26ae,29.4178351,Butternut_plot15,3.65,Sensor 8 butternut field ,,84,POINT (29.4178351 -25.1682304),POINT (29.417835 -25.16823)
Plot 15 sensors,_26AE,25-10-22,13.10720298865896,914.5,-25.1682304,Sensor 8_26ae,29.4178351,Butternut_plot15,3.65,Sensor 8 butternut field ,,85,POINT (29.4178351 -25.1682304),POINT (29.417835 -25.16823)
Plot 15 sensors,_26AE,25-10-21,14.35613167081756,914.5,-25.1682304,Sensor 8_26ae,29.4178351,Butternut_plot15,3.65,Sensor 8 butternut field ,,86,POINT (29.4178351 -25.1682304),POINT (29.417835 -25.16823)
Plot 15 sensors,_26AE,25-10-17,8.252795254993957,914.5,-25.1682304,Sensor 8_26ae,29.4178351,Butternut_plot15,3.65,Sensor 8 butternut field ,,87,POINT (29.4178351 -25.1682304),POINT (29.417835 -25.16823)
Plot 15 sensors,_9943,25-12-02,13.15275883723454,930.0999755859375,-25.1681068,Sensor 20_9943,29.4182483,Butternut_plot15,4.3,Sensor 20 butternut field ,,88,POINT (29.4182483 -25.1681068),POINT (29.418248 -25.168107)
Plot 15 sensors,_9943,25-11-29,13.78321131127531,930.0999755859375,-25.1681068,Sensor 20_9943,29.4182483,Butternut_plot15,4.3,Sensor 20 butternut field ,,89,POINT (29.4182483 -25.1681068),POINT (29.418248 -25.168107)
Plot 15 sensors,_9943,25-10-27,14.72013077794806,930.0999755859375,-25.1681068,Sensor 20_9943,29.4182483,Butternut_plot15,4.3,Sensor 20 butternut field ,,90,POINT (29.4182483 -25.1681068),POINT (29.418248 -25.168107)
Plot 15 sensors,_9943,25-10-24,17.25706768080513,930.0999755859375,-25.1681068,Sensor 20_9943,29.4182483,Butternut_plot15,4.3,Sensor 20 butternut field ,,91,POINT (29.4182483 -25.1681068),POINT (29.418248 -25.168107)
Plot 15 sensors,_9943,25-10-22,36.89497258023081,930.0999755859375,-25.1681068,Sensor 20_9943,29.4182483,Butternut_plot15,4.3,Sensor 20 butternut field ,,92,POINT (29.4182483 -25.1681068),POINT (29.418248 -25.168107)
Plot 15 sensors,_9943,25-10-21,35.47879526393742,930.0999755859375,-25.1681068,Sensor 20_9943,29.4182483,Butternut_plot15,4.3,Sensor 20 butternut field ,,93,POINT (29.4182483 -25.1681068),POINT (29.418248 -25.168107)
Plot 15 sensors,_9943,25-10-17,9.093363076732238,930.0999755859375,-25.1681068,Sensor 20_9943,29.4182483,Butternut_plot15,4.3,Sensor 20 butternut field ,,94,POINT (29.4182483 -25.1681068),POINT (29.418248 -25.168107)
Plot 15 sensors,_5DA2,25-12-02,14.72013077794806,919.7,-25.1681884,Sensor 19_5da2,29.4182051,Butternut_plot15,4.0,Sensor 19 butternut field ,,95,POINT (29.4182051 -25.1681884),POINT (29.418205 -25.168188)
Plot 15 sensors,_5DA2,25-11-29,14.3827106774332,919.7,-25.1681884,Sensor 19_5da2,29.4182051,Butternut_plot15,4.0,Sensor 19 butternut field ,,96,POINT (29.4182051 -25.1681884),POINT (29.418205 -25.168188)
Plot 15 sensors,_5DA2,25-10-27,13.53275775908037,919.7,-25.1681884,Sensor 19_5da2,29.4182051,Butternut_plot15,4.0,Sensor 19 butternut field ,,97,POINT (29.4182051 -25.1681884),POINT (29.418205 -25.168188)
